Date,Open,High,Low,Close,Volume
2015-11-09,99.34056190126688,99.59325624722005,97.69014724745671,98.3139877319336,4988800
2015-11-10,98.30608148943875,99.03258294766293,97.95073216481025,98.91413116455078,3872900
2015-11-11,99.04835335623875,99.04835335623875,98.32975043779196,98.47978973388672,3240200
2015-11-12,98.06127660957144,98.68511698732115,97.17684353769067,97.76909637451172,4285700
2015-11-13,97.20843724237493,97.32688902219137,94.68149405492731,94.76045989990234,8728800
2015-11-16,94.79993278313218,95.57380639193505,93.66280549298122,95.42376708984375,7785700
2015-11-17,98.59824507064197,99.76695387037027,97.20842350164769,99.64060974121094,10517100
2015-11-18,99.8459380260904,100.07494318964747,98.44032552709861,99.9249038696289,6502000
2015-11-19,99.91699673339625,100.77774061934687,99.4589864463659,100.1775894165039,4662200
2015-11-20,100.57245475629483,102.8230209350586,100.35924030634236,102.8230209350586,8191900
2015-11-23,102.82300740227384,104.74190105104222,102.82300740227384,104.63134765625,6329700
2015-11-24,104.18123945675973,105.76058070197278,104.03121215997514,105.5,6672700
2015-11-25,105.57104754369861,106.79503918766406,105.460494159371,106.3291244506836,5300900
2015-11-27,106.45547055548354,106.97665594002936,106.23436379526679,106.40019989013672,3337700
2015-11-30,106.76345103645122,106.85821969169271,105.03407068363735,105.7210922241211,8057900
2015-12-01,105.90351812043231,106.78393278483105,105.69728723334241,106.62528991699219,5267600
2015-12-02,106.72840410221339,106.79978613024834,105.94317758832608,106.13352966308594,5022700
2015-12-03,105.90350610675294,106.37939834802964,103.74609405859798,103.84919738769531,6688000
2015-12-04,104.34097416371797,106.94255728761185,104.18234340791973,106.70460510253906,5387100
2015-12-07,106.28421088369961,106.9108065032522,105.64174856032005,106.22868347167969,5444300
2015-12-08,105.26105646871929,106.72840618555891,105.02310426787318,106.1573257446289,4731400
2015-12-09,105.65765664752051,106.90292107382456,104.30926465732325,104.61859893798828,5055600
2015-12-10,104.6661874583355,105.95903976860482,104.53927799758749,105.12621307373047,4185600
2015-12-11,105.12622032026907,105.12622032026907,103.35746346164731,103.46057891845703,5300800
2015-12-14,103.97612220828358,104.80102157959587,103.67472737504625,104.7058334350586,5960100
2015-12-15,105.1896470995904,105.87970959236225,104.0554257871291,104.13473510742188,4921800
2015-12-16,104.83271268394576,105.71312712501465,103.39708465453351,105.4117202758789,4711700
2015-12-17,105.53864939809688,105.91936562935204,103.90472963192806,104.18234252929688,4345800
2015-12-18,103.69057054093912,104.15060819673613,103.11949014772564,103.3415756225586,9840600
2015-12-21,103.90470194056567,104.38853347951331,103.25430028703872,104.15058135986328,3414800
2015-12-22,104.19818461573652,104.91996837998866,103.47641295423371,104.60270690917969,3401900
2015-12-23,105.08657192673984,105.76075579222422,104.60274016315543,105.57833099365234,3244800
2015-12-24,105.33241096482901,105.87175784986296,105.22136824716034,105.4117202758789,1517100
2015-12-28,104.89619573630218,105.4117487570434,104.6106555133258,105.23725128173828,2607200
2015-12-29,105.78453370419957,106.54597830416458,105.71315167685167,106.04627990722656,3037400
2015-12-30,105.95107859691905,106.33179475470887,105.71312645976974,105.7686538696289,2484700
2015-12-31,105.55450827903721,105.94316388599024,104.88825189804619,104.89617919921875,3178700
2016-01-04,103.1988139081416,103.96025848388672,102.67532151873876,103.96025848388672,8050900
2016-01-05,104.02368652726618,104.65029426691791,103.15121143660767,103.45260620117188,5320900
2016-01-06,102.31840409949326,103.03224858931935,101.96940915682218,102.3818588256836,8199600
2016-01-07,100.67654020216435,101.43004532878285,98.90777771831101,99.46299743652344,12551000
2016-01-08,100.28788868346757,100.35927070293943,97.95597922538678,98.27324676513672,7104500
2016-01-11,99.04261891223581,100.00234883592927,98.42394448454392,99.76439666748047,6811600
2016-01-12,100.55756525428528,102.15976365622356,99.80406011913746,101.12071228027344,5695700
2016-01-13,101.10486114762652,101.10486114762652,95.94928264942192,96.29034423828125,8932200
2016-01-14,96.20310289135817,96.3855276788427,93.75221685495299,94.8785171508789,13389100
2016-01-15,92.89558014878679,96.09203733647766,92.08654764859531,94.56916046142578,10515000
2016-01-19,95.60822382836122,96.67899664486524,94.22811677711995,94.98955535888672,6350700
2016-01-20,93.5063128733248,94.11705390977654,90.09569761507056,92.37208557128906,11331400
2016-01-21,93.1018213445104,96.71866235895985,92.91146320207925,95.35441589355469,8993900
2016-01-22,96.48069351235334,98.88398506969467,96.43310549779218,97.3690414428711,6554500
2016-01-25,97.8608254807458,98.23361449402884,96.41726350574933,96.53623962402344,4854700
2016-01-26,96.55209805151675,97.12317247776691,95.68754398083895,96.92488098144531,4475600
2016-01-27,97.13110338221708,98.6063925617509,95.86203904804177,96.42518615722656,5431000
2016-01-28,96.74243230928384,97.3135126459187,95.42577419411184,96.98831176757812,4871600
2016-01-29,97.69424000926676,99.74854278564453,97.36111179192186,99.74854278564453,7616200
2016-02-01,99.08226237973929,100.80343057610933,98.34461800252723,100.34339904785156,4674100
2016-02-02,99.47092732090955,100.27995378600234,98.91570762205674,99.35987854003906,5832200
2016-02-03,99.95476115558782,100.0658099456317,96.40138141544593,98.18600463867188,7485700
2016-02-04,98.07498337622711,98.27327488889584,94.74368233256648,96.06034088134766,9171800
2016-02-05,95.88581596758529,95.97306469232467,91.76135610383703,92.34829711914062,8117700
2016-02-08,91.15855132895214,91.98344453863211,86.94684260436877,88.7155990600586,11286600
2016-02-09,87.99382493448798,91.44409531283293,87.78760011066808,90.30986785888672,7572900
2016-02-10,90.81750736146806,92.13416583136922,90.460585080598,90.68267059326172,5307600
2016-02-11,89.69120627231335,90.5716209530115,89.00908307733322,89.84190368652344,6447100
2016-02-12,91.11890925802071,92.34831899687386,90.04020299785155,92.26107025146484,5361600
2016-02-16,93.6887380351605,95.17988742634516,93.35560383012384,94.727783203125,6966400
2016-02-17,95.53684059375085,96.51243741914254,95.0768089209139,96.1396484375,5970700
2016-02-18,95.91754350772327,96.06031359835033,94.83090414842974,95.1561050415039,4460700
